            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458018.500000000, A.D. 2017-Sep-22 00:00:00.0000,  4.775901324670158E+07,  4.679679399760955E+07, -3.526220776537780E+07,  6.055424618494325E+01,  2.146970388150428E+01,  8.840743768831414E+00,  2.521507738199279E+02,  7.559290027007823E+07,  4.742482692207538E+01,
2458019.500000000, A.D. 2017-Sep-23 00:00:00.0000,  5.293717012009965E+07,  4.860027392655636E+07, -3.446032447867804E+07,  5.932194644845262E+01,  2.030105265658133E+01,  9.695499930607298E+00,  2.658454478828784E+02,  7.969846026891901E+07,  4.759016177621058E+01,
2458020.500000000, A.D. 2017-Sep-24 00:00:00.0000,  5.801184025611588E+07,  5.030858012268385E+07, -3.359085702706957E+07,  5.815880373676678E+01,  1.926321762907777E+01,  1.041004106665406E+01,  2.795711407276205E+02,  8.381331946459724E+07,  4.764543611648917E+01,
2458021.500000000, A.D. 2017-Sep-25 00:00:00.0000,  6.298898273377411E+07,  5.193218357493660E+07, -3.266475451291641E+07,  5.706405189743873E+01,  1.833748302766478E+01,  1.101033765755779E+01,  2.933003468315422E+02,  8.792923190888058E+07,  4.761854558484554E+01,
2458022.500000000, A.D. 2017-Sep-26 00:00:00.0000,  6.787440507655594E+07,  5.348006974991491E+07, -3.169096344269551E+07,  5.603512557345100E+01,  1.750810175423378E+01,  1.151699718606531E+01,  3.070125434198336E+02,  9.204004502866364E+07,  4.753040458137005E+01,
2458023.500000000, A.D. 2017-Sep-27 00:00:00.0000,  7.267364730376911E+07,  5.495997561308028E+07, -3.067683797803438E+07,  5.506850765829039E+01,  1.676184809284134E+01,  1.194644534596174E+01,  3.206924542023020E+02,  9.614117910736054E+07,  4.739676525223563E+01,
2458024.500000000, A.D. 2017-Sep-28 00:00:00.0000,  7.739192413604918E+07,  5.637858939508207E+07, -2.962845985182906E+07,  5.416025236443381E+01,  1.608760736704583E+01,  1.231184497891416E+01,  3.343287632853331E+02,  1.002292417254101E+08,  4.722954764621054E+01,
2458025.500000000, A.D. 2017-Sep-29 00:00:00.0000,  8.203410282408901E+07,  5.774171717487289E+07, -2.855088829485464E+07,  5.330630239486619E+01,  1.547601935897797E+01,  1.262380567756194E+01,  3.479131582468156E+02,  1.043017408813558E+08,  4.703781276744115E+01,
2458026.500000000, A.D. 2017-Sep-30 00:00:00.0000,  8.660470233012517E+07,  5.905442107500432E+07, -2.744835599360823E+07,  5.250267601939809E+01,  1.491917736127710E+01,  1.289093048574582E+01,  3.614396143049794E+02,  1.083568703910617E+08,  4.682847652212608E+01,
2458027.500000000, A.D. 2017-Oct-01 00:00:00.0000,  9.110790486543222E+07,  6.032113370489980E+07, -2.632442346003199E+07,  5.174557236518192E+01,  1.441037827182974E+01,  1.312023746407870E+01,  3.749038557476301E+02,  1.123933484282594E+08,  4.660683594786370E+01,
